incident energy ,cross_section
4000000,2.643951
4125000,2.624688
4250000,2.606134
4375000,2.588244
4500000,2.570976
4625000,2.552808
4750000,2.535267
4875000,2.518319
5000000,2.501928
5125000,2.493718
5250000,2.485971
5375000,2.478664
5500000,2.471772
5750000,2.498542
6000000,2.526516
6500000,2.630196
7000000,2.726843
7396650,2.783914
7396657,2.783915
7500000,2.799036
8000000,2.841264
8500000,2.854027
9000000,2.851853
9500000,2.844882
10000000,2.837471
10500000,2.83201
11000000,2.822954
11500000,2.814686
12000000,2.806547
12500000,2.79597
13000000,2.786283
13500000,2.776587
13585600,2.775041
13585670,2.775039
14000000,2.768046
14500000,2.762378
15000000,2.759937
15500000,2.762228
16000000,2.764137
16500000,2.768821
17000000,2.772156
17500000,2.775819
18000000,2.779165
18500000,2.78253
19000000,2.78436
19500000,2.785789
20000000,2.78608
