Incident energy;
Incident energy;
Incident energy;?(E)
0.6001815;0.004255397
0.606877;0.003963112
0.6135725;0.003715763
0.6202681;0.003504577
0.6269636;0.003322828
0.6336591;0.003165342
0.6403546;0.003028078
0.6537457;0.002801349
0.6671367;0.002621808
0.6805278;0.002476942
0.6939188;0.002358946
0.7130489;0.002225599
0.732179;0.002123316
0.7513091;0.002045043
0.7704391;0.001985514
0.7895692;0.001939294
0.8086993;0.001905609
0.8469594;0.001870578
0.8775676;0.001870941
0.9081757;0.001896451
0.9311318;0.001933512
0.9540879;0.001988126
0.977044;0.002063217
1.0;0.002162066
1.02108;0.002280278
1.04216;0.002433171
1.06324;0.002630334
1.084319;0.002886905
1.105399;0.003225662
1.115939;0.003435673
1.126479;0.003680206
1.137019;0.003967919
1.147559;0.004310653
1.158099;0.004723473
1.168638;0.005226119
1.178593;0.00580824
1.188547;0.006528177
1.198502;0.007433601
1.208456;0.008594692
1.213434;0.00930326
1.218411;0.01012109
1.223388;0.011073
1.228365;0.01219106
1.233342;0.01351733
1.238319;0.01510739
1.243296;0.01703527
1.248273;0.01939987
1.253251;0.02233334
1.258228;0.0260063
1.263205;0.0306358
1.265694;0.03338892
1.268182;0.03647849
1.270671;0.03994176
1.273159;0.04380904
1.278136;0.05287154
1.283113;0.06379964
1.28809;0.07651165
1.297458;0.1035609
1.303094;0.1195852
1.308729;0.1330417
1.314365;0.1419346
1.317183;0.144181
1.32;0.1448129
1.324419;0.1425236
1.328838;0.1364976
1.333257;0.1273829
1.337675;0.1160849
1.347643;0.08766333
1.352627;0.07422625
1.35761;0.0623209
1.362594;0.0522464
1.367577;0.04402989
1.372561;0.0375143
1.377544;0.03246584
1.381279;0.02949147
1.384547;0.02737202
1.387814;0.02564435
1.391082;0.02426
1.394349;0.02318165
1.397617;0.02237951
1.400884;0.02183351
1.404152;0.02153083
1.407419;0.02146684
1.411154;0.02168943
1.414888;0.0222418
1.418623;0.02315007
1.422357;0.02444922
1.426092;0.02618274
1.429826;0.02839581
1.43356;0.03113219
1.437294;0.03442408
1.441681;0.03901385
1.446068;0.04433997
1.450455;0.05027014
1.454841;0.05656498
1.459228;0.06288269
1.463615;0.06879109
1.468002;0.07381762
1.472388;0.07750979
1.476194;0.07934966
1.48;0.07976451
1.485075;0.07804473
1.49015;0.07393115
1.494934;0.06830123
1.499718;0.06154111
1.504502;0.05424896
1.509285;0.04696759
1.514069;0.04011394
1.518852;0.03396268
1.523636;0.02864151
1.528419;0.0241697
1.531495;0.02171648
1.534571;0.01956456
1.537647;0.01768444
1.540722;0.01604601
1.543798;0.01461828
1.546873;0.01337415
1.549949;0.01228739
1.553024;0.01133615
1.5561;0.01050019
1.559175;0.009763172
1.565326;0.008529792
1.571477;0.007546062
1.577628;0.006748368
1.58334;0.006134627
1.589052;0.005616335
1.594764;0.005174158
1.600475;0.004793574
1.606187;0.00446327
1.611898;0.004174671
1.61761;0.003920828
1.623321;0.003696364
1.634744;0.003318564
1.646167;0.003014613
1.65759;0.002766179
1.669013;0.002560567
1.68483;0.002330597
1.700647;0.002150107
1.716464;0.002008364
1.732281;0.001898191
1.748098;0.001815056
1.763915;0.001756549
1.779732;0.00172222
1.795548;0.001713782
1.809607;0.001731616
1.823666;0.001779417
1.834211;0.001840943
1.844756;0.001932232
1.855301;0.002064815
1.865845;0.002257555
1.871118;0.002385759
1.87639;0.002542552
1.881662;0.002735896
1.886934;0.002976447
1.892207;0.003278483
1.897479;0.003660489
1.902751;0.004146065
1.908023;0.004763525
1.912856;0.005472333
1.917689;0.006342491
1.922522;0.007393643
1.927355;0.008635396
1.932188;0.0100607
1.937021;0.01163941
1.946686;0.01499835
1.9502;0.01616851
1.95515;0.0176399
1.9601;0.01878906
1.96505;0.01950682
1.97;0.01972128
1.97495;0.01941062
1.9799;0.01860695
1.98485;0.01739014
1.9898;0.01587343
2.0;0.01234207
2.005531;0.01047602
2.011061;0.008785747
2.016591;0.0073253
2.022121;0.006109423
2.027651;0.005124791
2.033181;0.004342187
2.038711;0.003726487
2.044241;0.003243362
2.050526;0.002817443
2.05681;0.002489108
2.063094;0.002232048
2.069378;0.002027361
2.075663;0.001861611
2.081947;0.001725352
2.088231;0.001611767
2.094515;0.00151593
2.107084;0.00136381
2.119652;0.001249132
2.13222;0.001159914
2.144788;0.001088687
2.158362;0.001026505
2.171936;9.758152E-4
2.199084;8.986707E-4
2.226232;8.424211E-4
2.253379;7.993911E-4
2.280527;7.657078E-4
2.307674;7.389155E-4
2.361969;6.994405E-4
2.416265;6.708453E-4
2.47056;6.503316E-4
2.524855;6.356334E-4
2.57915;6.254196E-4
2.6435;6.180452E-4
2.70785;6.151399E-4
2.7722;6.164151E-4
2.83655;6.219067E-4
2.943275;6.414004E-4
3.05;6.772286E-4
3.103663;7.032786E-4
3.157326;7.369487E-4
3.210989;7.80695E-4
3.264652;8.378713E-4
3.318315;9.137883E-4
3.345147;9.612205E-4
3.371978;0.001016662
3.39881;0.001081567
3.425641;0.001158719
3.452473;0.001252348
3.479304;0.001367087
3.503358;0.001493072
3.527411;0.001647775
3.551464;0.001840581
3.575517;0.002084825
3.587544;0.002232208
3.59957;0.002400978
3.611597;0.002595834
3.623623;0.002822706
3.63565;0.003089269
3.647676;0.003405426
3.659703;0.00378451
3.671729;0.004244651
3.683004;0.004772362
3.694279;0.005424107
3.705554;0.006244538
3.711192;0.006738093
3.716829;0.007301966
3.722467;0.007951351
3.728104;0.008705313
3.733742;0.009589172
3.739379;0.01063534
3.745017;0.01188708
3.750654;0.01339995
3.756291;0.01524675
3.761928;0.01752007
3.767942;0.02054621
3.773955;0.02435872
3.776962;0.0266212
3.779968;0.02915516
3.782975;0.03198936
3.785981;0.03514873
3.791995;0.04254851
3.798008;0.05152112
3.804021;0.06215409
3.810034;0.07440134
3.817551;0.09161831
3.825068;0.1100793
3.832558;0.1282983
3.840047;0.1445666
3.847536;0.1570334
3.855025;0.1641277
3.86;0.1653739
3.866219;0.1628928
3.872438;0.1561704
3.879927;0.1433574
3.887416;0.126929
3.894905;0.1087292
3.902394;0.0904834
3.908018;0.07758124
3.913641;0.0658102
3.919265;0.05538947
3.924888;0.04640358
3.930512;0.03881843
3.936135;0.03252879
3.941759;0.02738014
3.947382;0.02320472
3.952303;0.02021641
3.957223;0.01774152
3.962144;0.0156878
3.967064;0.01397809
3.971985;0.01254668
3.976905;0.01134103
3.981826;0.01031781
3.986746;0.009443287
3.991667;0.008689969
3.996587;0.008036682
4.006428;0.006964958
4.016269;0.006129104
4.02611;0.005465016
4.038763;0.00479653
4.051416;0.00428301
4.064069;0.003886653
4.076721;0.003583227
4.089374;0.003357719
4.102027;0.003202546
4.11468;0.003117321
4.127332;0.003110815
4.137173;0.003174195
4.147014;0.00331899
4.151935;0.003431665
4.156855;0.003578367
4.161776;0.003766046
4.166696;0.004002781
4.171617;0.004298022
4.176537;0.004661977
4.181458;0.005105648
4.186378;0.005639517
4.191299;0.006273265
4.196219;0.007013604
4.20114;0.007863816
4.20606;0.008820949
4.213793;0.01051565
4.221525;0.01236879
4.229257;0.01424902
4.236989;0.01598305
4.242742;0.01706516
4.248495;0.01788689
4.254248;0.01838857
4.26;0.01853193
4.26505;0.01835242
4.2701;0.01789689
4.27515;0.01719063
4.2802;0.01627191
4.287868;0.01457884
4.295535;0.01268981
4.303202;0.01077897
4.310869;0.008986022
4.319084;0.007298895
4.323192;0.006563409
4.327299;0.005902849
